Price,Close,High,Low,Open,Volume,MA_20,MA_50,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,AWL.NS,AWL.NS,AWL.NS,AWL.NS,AWL.NS,,,,,,,,,
Date,,,,,,,,,,,,,,
2023-07-11,402.0,405.8999938964844,401.3999938964844,402.0,702017.0,411.8675003051758,416.31499938964845,-0.31633518593817006,3.244291872636751e-05,0.0,0.009701477354438826,-0.001492552496307531,Fast Moving Consumer Goods,8
2023-07-12,401.6000061035156,405.3500061035156,400.1000061035156,404.5,676793.0,410.9925003051758,416.03799926757813,-0.31922520074827904,-9.950096927472396e-06,0.0072211002301052485,0.009337649260476866,-0.0037350597041907463,Fast Moving Consumer Goods,8
2023-07-13,398.75,404.0,397.0,402.1000061035156,876459.0,410.00500030517577,416.0639990234375,-0.33981691457304974,-7.096628635959279e-05,0.008401269225117636,0.013166144200627006,-0.004388714733542298,Fast Moving Consumer Goods,8
2023-07-14,398.70001220703125,403.95001220703125,397.5,403.95001220703125,845027.0,408.38250122070315,416.0579992675781,-0.3401780837390648,-1.2536123628525964e-06,0.013167794931678856,0.013167794931678856,-0.0030098123157521472,Fast Moving Consumer Goods,8
2023-07-17,402.6000061035156,410.95001220703125,401.04998779296875,402.5,1426265.0,407.5450012207031,416.1699993896484,-0.31200005347600834,9.781775212134303e-05,-0.0002484006507688097,0.02074020361879647,-0.003850020583825664,Fast Moving Consumer Goods,8
2023-07-18,406.04998779296875,414.5,402.1499938964844,404.0,1905701.0,406.88000030517577,416.42599914550783,-0.2870734276830723,8.56925394225172e-05,-0.005048609419030403,0.020810275732207728,-0.009604713739020831,Fast Moving Consumer Goods,8
2023-07-19,401.3500061035156,409.45001220703125,400.0,407.0,1040685.0,406.0925003051758,416.6469995117188,-0.3210314875663467,-0.00011574884449570444,0.014077473054845635,0.020181901034845184,-0.0033636628453604933,Fast Moving Consumer Goods,8
2023-07-20,401.3999938964844,403.3999938964844,400.29998779296875,401.6000061035156,698744.0,405.2375,416.89799926757814,-0.3206703184003317,1.2454912721704403e-06,0.0004982865223530641,0.004982561112135464,-0.002740423817244264,Fast Moving Consumer Goods,8
2023-07-21,399.8500061035156,403.8500061035156,399.1000061035156,401.3999938964844,891058.0,404.32250061035154,416.98999938964846,-0.33186920847475276,-3.861454450765356e-05,0.0038764230819281487,0.010003751254075155,-0.0018757033601390916,Fast Moving Consumer Goods,8
2023-07-24,398.54998779296875,403.6000061035156,398.0,403.6000061035156,730674.0,404.05,417.1159991455078,-0.34126203222510243,-3.251264951113497e-05,0.012670978459972115,0.012670978459972115,-0.0013799719227552965,Fast Moving Consumer Goods,8
2023-07-25,416.75,419.6499938964844,398.0,399.0,4321691.0,404.5425003051758,417.71699890136716,-0.20976426367217746,0.00045665569600984225,-0.04259148170365923,0.006958593632836019,-0.04499100179964011,Fast Moving Consumer Goods,8
2023-07-26,413.3999938964844,422.70001220703125,412.54998779296875,419.3999938964844,3248464.0,404.88500061035154,418.3219989013672,-0.2339685511330835,-8.038406967044054e-05,0.014513788312978004,0.022496416177682832,-0.002056134775194174,Fast Moving Consumer Goods,8
2023-07-27,407.5,416.79998779296875,405.45001220703125,415.6000061035156,1008306.0,404.5575012207031,418.7569989013672,-0.2765968759406813,-0.00014271877076906135,0.01987731559144934,0.022822055933665597,-0.0050306448907208035,Fast Moving Consumer Goods,8
2023-07-28,406.70001220703125,413.70001220703125,400.0,407.5,1301848.0,404.39500122070314,419.3309991455078,-0.2823769055608993,-1.963160228144134e-05,0.0019670218071237144,0.017211703442085557,-0.016474089023682192,Fast Moving Consumer Goods,8
2023-07-31,411.8999938964844,416.3999938964844,407.3500061035156,408.0,1625215.0,404.67750091552733,419.48999877929685,-0.24480627204148955,0.0001278579182044881,-0.009468302875150103,0.010924981953582824,-0.011046341006045846,Fast Moving Consumer Goods,8
2023-08-01,413.1000061035156,416.45001220703125,408.3999938964844,414.0,1149582.0,404.93750152587893,418.8659991455078,-0.2361360071171662,2.9133581568656643e-05,0.0021786344303729166,0.008109431261243305,-0.011377419844078918,Fast Moving Consumer Goods,8
2023-08-02,400.5,414.45001220703125,395.6499938964844,412.0,2378610.0,404.61500091552733,417.1019989013672,-0.3271729068465761,-0.00030501103648878367,0.02871410736579283,0.03483149115363604,-0.012109877911399836,Fast Moving Consumer Goods,8
2023-08-03,397.20001220703125,400.5,388.20001220703125,396.0,2294230.0,404.12500152587893,415.75999938964844,-0.3510158046474708,-8.239669895053092e-05,-0.0030211786761118464,0.008308126111659542,-0.022658609575542887,Fast Moving Consumer Goods,8
2023-08-04,398.1000061035156,402.0,396.8999938964844,398.04998779296875,812495.0,403.83500213623046,414.6809997558594,-0.34451321620122644,2.2658455912012433e-05,-0.0001256425766893443,0.009796518052477277,-0.0030143486275637787,Fast Moving Consumer Goods,8
2023-08-07,394.29998779296875,402.0,390.0,401.79998779296875,1177593.0,403.51500091552737,413.5589996337891,-0.37196890813225286,-9.545386215238483e-05,0.019021050550825702,0.01952830952425555,-0.010905371357065596,Fast Moving Consumer Goods,8
