,Unnamed: 0.1,Unnamed: 0,Price,Close,High,Low,Open,Volume,MA_5,MA_15,MA_19,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,Stock Movement Label
0,0,0,Ticker,FEDERALBNK.NS,FEDERALBNK.NS,FEDERALBNK.NS,FEDERALBNK.NS,FEDERALBNK.NS,,,,,,,,,,,,,,
1,1,1,Date,,,,,,,,,,,,,,,,,,,
37,37,37,2020-03-02,79.6251220703125,84.81805875314977,78.51921617050337,84.57764474609793,12883824,82.51008758544921,83.41724853515625,84.29674168636924,84.33242416381836,85.55084259033202,86.44165623982748,-0.7118099847140043,-0.0360884599182793,0.0621979916264634,0.0652173151866779,-0.0138889068054748,Financial Services,9.0,0.0
38,38,38,2020-03-03,81.25993347167969,82.22158948909602,79.33662143684704,80.34636318987545,8678728,82.14465789794922,83.06143595377604,84.03102111816406,84.14490127563477,85.12194396972656,86.14514567057292,-0.6754460075544004,0.0205313519007679,-0.0112425674348186,0.0118343195266272,-0.0236686390532543,Financial Services,9.0,1.0
39,39,39,2020-03-04,80.25019073486328,81.5003464769201,78.95195659463694,81.16376834232112,7890014,81.83692626953125,82.61266276041667,83.65648129111842,83.84197959899902,84.66611877441406,85.78773040771485,-0.6979062508509423,-0.0124260837251154,0.0113841175839217,0.0155782276728435,-0.0161773340142648,Financial Services,9.0,0.0
40,40,40,2020-03-05,80.00977325439453,81.69267119106506,79.81744499637328,81.54842866597549,9188495,80.75025482177735,82.15106811523438,83.18577575683594,83.47414588928223,84.2179867553711,85.44954783121744,-0.7032539843945326,-0.0029958493340291,0.0192308432957151,0.0210336546176637,-0.0024038095622359,Financial Services,9.0,0.0
41,41,41,2020-03-06,76.9805679321289,78.13455223032784,73.3743578291907,75.68232642558856,10354678,79.62511749267578,81.56445821126302,82.6189049168637,82.87551536560059,83.71984893798827,84.98635025024414,-0.7706342051701498,-0.0378604412817686,-0.0168645353160419,0.0149905921610808,-0.0468457196382037,Financial Services,9.0,0.0
42,42,42,2020-03-09,70.056640625,75.58616282172109,67.07550838631234,74.52834265145815,26932628,77.71142120361328,80.64767964680989,81.74835325542249,81.99079170227051,83.00822357177735,84.24427235921225,-0.924646792946714,-0.0899438324907331,0.0638298095164786,0.0789293084479967,-0.0425531714351692,Financial Services,9.0,0.0
43,43,43,2020-03-11,68.6141586303711,72.31653300569565,68.27758047567859,70.10472846282097,21213681,75.18226623535156,79.80783386230469,80.78163588674445,81.09164352416992,82.35237426757813,83.4653310139974,-0.9567326850942474,-0.0205902250202124,0.0217239395221571,0.053959335058956,-0.0049053746546054,Financial Services,9.0,0.0
44,44,44,2020-03-12,60.68049240112305,65.82535055651695,60.05541819941318,65.3926082893434,29022639,71.26832656860351,78.60576349894205,79.39988849037572,79.77657871246338,81.32724899291992,82.43315340677897,-1.1332054313150188,-0.1156272464403042,0.0776545427000052,0.0847860317510984,-0.0103010733264632,Financial Services,9.0,0.0
45,45,45,2020-03-13,65.8734359741211,66.59467797383775,51.59284584710194,54.622060044855985,22601520,68.44105911254883,77.58320287068685,78.35218951576634,78.72356586456299,80.46752853393555,81.58849881490072,-1.017696032908763,0.0855784679311853,-0.1708029308458314,0.010948905109489,-0.2167882988922788,Financial Services,9.0,1.0
46,46,46,2020-03-16,60.68049240112305,63.66162454694309,60.103500265940625,62.21914054056052,17224557,65.18104400634766,76.01890869140625,77.13493547941509,77.46860466003417,79.33662109375,80.63004811604817,-1.1332054313150188,-0.0788321346261357,0.0253565532933774,0.0491283446764658,-0.0095086923713186,Financial Services,9.0,0.0
