,Unnamed: 0,Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,Stock_Movement_Label
0,0,Ticker,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,,,,,,,,,,,,,,
1,1,Date,,,,,,,,,,,,,,,,,,,
46,46,2020-03-16,254.9800262451172,270.0505871097676,245.81089561622102,266.2951369175728,7727458,286.8841583251953,309.8131698608398,320.7042633056641,329.2105628967285,334.9626739501953,338.5031580607096,-1.574212992534465,-0.0972199096461991,0.0443764589685082,0.059104868277654,-0.0359601917213771,Services,18.0,0.0
47,47,2020-03-17,260.5888366699219,276.390979404406,258.49164624831405,258.49164624831405,9691217,276.88954162597656,303.0068984985352,314.7774709065755,324.5435707092285,331.12488342285155,335.30982309977213,-1.5575599248627496,0.0219970579947028,-0.0080478904944967,0.0606401369161491,-0.0080478904944967,Services,18.0,1.0
48,48,2020-03-18,254.00457763671875,266.2951279576063,249.71264746207774,263.36880787016014,5581367,265.9060882568359,294.90063018798827,308.6593536376953,319.74273147583006,327.07389099121093,331.9629389444987,-1.577109188065357,-0.0252668499439335,0.0368663837501159,0.0483871213473392,-0.0168970583702605,Services,18.0,0.0
49,49,2020-03-19,252.0049591064453,257.6624998537032,235.08106719501586,241.9091479849126,8727962,260.80341796875,286.7246398925781,302.4079284667969,314.65860443115236,322.7132958984375,328.3837819417318,-1.583046237132837,-0.0078723720213157,-0.0400619541668157,0.022450116725156,-0.0671569796540428,Services,18.0,0.0
50,50,2020-03-20,250.1028289794922,258.00389953122664,241.12878327695205,251.27336897533013,7028900,254.33624572753905,278.0497116088867,296.3319915771484,309.2526481628418,318.2804766845703,324.9309595743815,-1.5886938342747323,-0.0075479868876297,0.004680234928226,0.0315912882072291,-0.0358814242092239,Services,18.0,0.0
51,51,2020-03-23,202.6964569091797,230.0087798644561,198.0143414257539,229.22842480321268,5716748,243.87953186035156,265.38184509277346,287.8352905273438,301.4980804443359,312.1443566894531,319.7821502685547,-1.7294476594826729,-0.1895475243672661,0.130895074825708,0.1347449450856164,-0.023099148129282,Services,18.0,0.0
52,52,2020-03-24,226.05824279785156,232.8863234864598,207.37857086763003,210.695061248483,9694177,236.9734130859375,256.93147735595704,280.99573669433596,295.326456451416,307.0295391845703,315.43297170003257,-1.660084394927386,0.1152550283557219,-0.0679611650485437,0.0302049622437972,-0.0826321203731795,Services,18.0,1.0
53,53,2020-03-25,249.32249450683594,259.9547856002883,216.84033633119375,216.84033633119375,11745146,236.03699645996093,250.97154235839844,275.2794189453125,290.5037643432617,303.00158447265625,311.9010752360026,-1.591010718211877,0.102912645082303,-0.1302816989694107,0.0426447325359999,-0.1302816989694107,Services,18.0,1.0
54,54,2020-03-26,242.10421752929688,253.71196305932494,235.5687721685094,251.32212302864914,8701776,234.05684814453124,247.4301330566406,269.16870930989586,285.32015838623045,298.53825317382814,307.9372212727865,-1.6124424382872309,-0.0289515672936649,0.0380741219356777,0.0479452429556432,-0.026994347423942,Services,18.0,0.0
55,55,2020-03-27,245.1280975341797,253.22425325601722,238.00738190210487,252.63898324854574,4871435,233.06190185546876,243.6990737915039,263.05377502441405,280.5144691467285,294.0144989013672,304.07738087972007,-1.6034642638547774,0.0124899930936432,0.0306406560076972,0.033028264826755,-0.0290489572746018,Services,18.0,1.0
56,56,2020-03-30,245.469482421875,248.5909024864698,231.17929165503992,241.90913219599113,8946439,241.61650695800785,242.74801940917968,257.46006571451824,276.2805946350098,289.52176574707033,300.3897150675456,-1.602450661110825,0.0013926795464469,-0.0145042479038794,0.0127161227285685,-0.0582157530371751,Services,18.0,1.0
57,57,2020-03-31,245.1280975341797,253.22425325601722,240.9824771526881,248.73722288949486,6401278,245.43047790527345,241.20194549560543,253.09781087239585,272.1044219970703,285.3472607421875,296.7630289713542,-1.6034642638547774,-0.0013907426875516,0.0147234257990842,0.033028264826755,-0.0169120570966514,Services,18.0,0.0
58,58,2020-04-01,238.78773498535156,241.71405523055432,229.27719418844262,240.00703508751937,4034211,243.32352600097656,239.68026123046872,248.42220357259112,267.2904457092285,281.0677166748047,293.055241394043,-1.6222893762390174,-0.0258655071067242,0.0051062090866711,0.0122549018080106,-0.0398284308760346,Services,18.0,0.0
59,59,2020-04-03,238.78773498535156,246.59125563922558,233.03262957269882,239.95826010662577,7210403,242.6602294921875,238.35853881835936,245.8401652018229,262.5415893554688,276.78817260742187,289.225249226888,-1.6222893762390174,0.0,0.0049019482568735,0.032679738154695,-0.0241013442880798,Services,18.0,0.0
60,60,2020-04-07,242.00669860839844,249.5663595034995,239.56809831965614,247.95687438250863,7360798,242.03594970703125,237.54892578125,243.1446990966797,257.79931869506834,272.8187652587891,285.35140736897785,-1.6127319808222778,0.0134804395344859,0.0245868226306347,0.0312374035039983,-0.0100765817754834,Services,18.0,1.0
61,61,2020-04-08,244.6891632080078,249.56636387084205,236.78809218060226,241.9091528765782,6897792,241.8798858642578,241.7481964111328,242.4586415608724,253.5650207519531,269.40045288085935,281.5814524332682,-1.6047674997432382,0.0110842576467273,-0.0113613953923507,0.0199322299316058,-0.0322902368205367,Services,18.0,1.0
62,62,2020-04-09,245.71336364746094,248.34706391484355,241.3726580306801,247.76179388119513,5290625,241.99693908691407,243.71370849609377,241.466943359375,250.32259292602535,266.0829254150391,278.12220713297523,-1.6017265555971882,0.0041857204709244,0.0083366659563262,0.0107185878223592,-0.0176657286862456,Services,18.0,1.0
63,63,2020-04-13,256.3944396972656,258.9793500435211,241.4214280066722,245.81090851588442,6979344,245.51828002929688,244.42090301513673,241.6262674967448,247.6962226867676,262.9360125732422,275.14281056722007,-1.5700134705056503,0.043469658675665,-0.0412783178678818,0.0100817722463386,-0.0583983479059554,Services,18.0,1.0
64,64,2020-04-15,262.2958679199219,272.53799017976615,258.4916570341657,258.4916570341657,7606664,250.21990661621095,246.44006805419923,242.31232808430988,246.93510055541992,260.0772528076172,272.3601282755534,-1.5524915940098714,0.0230169898755381,-0.014503510542978,0.0390479741105611,-0.014503510542978,Services,18.0,1.0
65,65,2020-04-16,261.02777099609375,264.63688142619856,253.90704056122368,260.44250099529955,3267284,254.02412109375,248.03003540039063,243.04065755208333,245.86455459594723,257.0442791748047,269.68632456461586,-1.5562566889742888,-0.004834605035468,-0.0022421752235817,0.0138265381355104,-0.027279589477001,Services,18.0,0.0
66,66,2020-04-17,261.56427001953125,269.12393117482446,257.12602924849074,268.2460409942756,3470146,257.3991424560547,249.63951416015624,246.96517842610675,246.19376678466796,254.33184509277345,267.40023447672525,-1.5546637746365886,0.0020553331217984,0.0255454270349899,0.0289017347618951,-0.0169680697241603,Services,18.0,1.0
67,67,2020-04-20,263.8565368652344,266.7828570522795,260.003536711731,266.7828570522795,2234365,261.02777709960935,251.51235809326172,249.4850646972656,246.3571517944336,252.46362976074215,265.24040069580076,-1.5478578261355829,0.0087636849082329,0.0110905730129391,0.0110905730129391,-0.0146026329280267,Services,18.0,1.0
68,68,2020-04-21,258.6867370605469,262.9786677233528,254.49232659729395,259.5158373651715,2562044,261.4862365722656,253.50225830078125,250.10934753417968,246.591259765625,250.45422546386715,262.6943832397461,-1.5632074313951831,-0.0195932223855723,0.0032050359985427,0.0165912281069184,-0.016214246276844,Services,18.0,0.0
69,69,2020-04-22,265.2221374511719,267.12425741150406,252.1512470398566,253.61440708070683,3229099,262.0714904785156,256.1456985473633,251.650542195638,247.25211868286132,249.96237854003903,260.40962575276694,-1.5438032339408496,0.0252637629005902,-0.0437660690092359,0.0071717993777287,-0.0492828032264903,Services,18.0,1.0
70,70,2020-04-23,270.78216552734375,272.8305955987702,261.905655063208,266.7828553437147,3594086,264.0223693847656,259.0232452392578,253.3608133951823,248.2860855102539,249.49611755371097,258.2072942097982,-1.527295005493754,0.0209636651359673,-0.0147694741115629,0.0075648633189602,-0.0327810010930702,Services,18.0,1.0
71,71,2020-04-24,264.00286865234375,270.1481594118285,262.92987854182377,267.2218389839036,2515755,264.5100891113281,260.9546157836914,254.59637247721355,251.3514060974121,249.85703125,256.0282190958659,-1.5474233537664548,-0.0250359799796911,0.0121929369479647,0.0232773635788678,-0.0040643123159883,Services,18.0,0.0
72,72,2020-04-27,264.4906005859375,270.2944816021847,262.881130232009,266.5877910330608,1845577,264.63690185546875,262.83233947753905,255.8872060139974,253.2730239868164,250.01310180664063,254.4925084431966,-1.5459752333486434,0.0018474493708476,0.0079291681537161,0.0219436191811339,-0.0060851703250056,Services,18.0,1.0
73,73,2020-04-28,266.2463684082031,267.9533884627065,263.36880840909896,264.49055849130207,1808291,266.148828125,263.8175323486328,257.71778157552086,254.1192176818848,250.5027734375,253.069992574056,-1.540762199185338,0.0066382995024246,-0.0065946811871968,0.006411430378221,-0.0108078845030191,Services,18.0,1.0
74,74,2020-04-29,280.5853271484375,285.9990373392502,266.00251612043553,267.2705762904989,4058322,269.2214660644531,265.6464782714844,260.50428771972656,256.0432731628418,251.6459881591797,253.1722264607747,-1.4981885280933305,0.053855978678553,-0.0474534823087691,0.019294345309613,-0.0519728211599862,Services,18.0,1.0
75,75,2020-04-30,282.9751892089844,288.73028005373874,278.09798853240096,287.80360001795964,4675412,271.6600708007812,267.8412200927734,263.2355204264323,257.93562774658204,252.96088256835935,253.190109761556,-1.491092810533624,0.0085174163768106,0.0170630182189202,0.0203377930794634,-0.0172354356939098,Services,18.0,1.0
76,76,2020-05-04,259.8084716796875,273.1232228394993,255.56530137124577,268.2460224316511,6359013,270.82119140625,267.66564025878904,264.24347432454425,258.65257720947267,255.24536315917967,253.3510579427083,-1.5598768994093557,-0.0818683701354031,0.0324760416679794,0.05124833333467,-0.0163319166654158,Services,18.0,0.0
77,77,2020-05-05,256.6383056640625,265.02709678495086,254.68742539260336,265.02709678495086,4866839,269.250732421875,266.9438171386719,264.9718037923177,259.2280876159668,256.46856567382815,253.21937357584636,-1.5692894102967447,-0.0122019347372684,0.03268721362223,0.03268721362223,-0.0076016721915739,Services,18.0,0.0
78,78,2020-05-06,263.51513671875,266.78286700311503,254.68741573245603,254.68741573245603,10547916,268.70448608398436,267.42665710449216,265.44651692708334,260.4644577026367,257.03627136230466,253.5363922119141,-1.5488714741842662,0.0267958091325977,-0.0334998630295602,0.0124005411038405,-0.0334998630295602,Services,18.0,1.0
79,79,2020-05-07,275.4642639160156,277.5126939727674,261.8568930917242,264.5393532267861,6505707,267.6802734375,268.45086975097655,266.3244099934896,262.29828414916994,258.37067321777346,254.31836903889973,-1.5133934300425036,0.0453451264547999,-0.0396599926753488,0.0074362823969658,-0.0493979532257587,Services,18.0,1.0
