date,close,high,low,open,volume,ma_20_unnamed: 6_level_1,ma_50_unnamed: 7_level_1,NORMALISED_CLOSE,RETURN RATIO,PERCENTAGE_CHANGE_OPEN,PERCENTAGE_CHANGE_CLOSE,PERCENTAGE_CHANGE_LOW,Sector_Name,Sector_Encoded,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30
2020-02-12,365.1199035644531,370.2552047594186,364.1395392793746,366.6605167181363,12335.0,379.6924987792969,,-0.7651060591815362,-0.0012769265212554,0.0042194718464896,0.0140646980480454,-0.0026850475022254,Capital Goods,1.0,368.43450317382815,365.9415588378907,371.1048767089844,379.6924987792969,,
2020-02-13,363.76605224609375,367.5008165843617,361.3384497274215,366.8939230781913,7608.0,377.77142944335935,,-0.7655367201492366,-0.0037079636172734,0.0085985781597384,0.0102669402909023,-0.006673526855194,Capital Goods,1.0,366.4924255371094,365.7128021240235,368.7644205729167,377.77142944335935,380.7181591796875,
2020-02-14,365.9602661132813,371.60908630397296,364.1862300920124,365.0265749416632,6745.0,375.81068115234376,,-0.7648387393188677,0.0060319368826178,-0.0025513457554678,0.0154356106762234,-0.0048476192241038,Capital Goods,1.0,365.3813415527344,365.9929107666016,367.6626668294271,375.81068115234376,380.5482275390625,
2020-02-17,368.66796875,375.3438549995768,364.6530795727626,366.006943183667,21746.0,373.9899856567383,,-0.7639774173834669,0.0073988978789314,-0.0072179462060548,0.018108126594811,-0.0108902576777966,Capital Goods,1.0,365.8201843261719,366.78654785156255,366.8596944173177,373.9899856567383,380.2251708984375,
2020-02-18,364.886474609375,370.6753708924455,361.3384597868424,370.6753708924455,13870.0,372.1856246948242,,-0.7651803130810007,-0.0102571811525869,0.0158649242597106,0.0158649242597106,-0.0097236128752947,Capital Goods,1.0,365.6801330566406,367.16469116210936,366.3150410970052,372.1856246948242,378.6229565429687,
2020-02-19,364.5596923828125,368.29445669051097,362.27213784675104,364.3729427698314,6251.0,369.7206802368164,,-0.7652842627156542,-0.0008955723198902,-0.0005122607267974,0.0102445892558431,-0.0062748421832092,Capital Goods,1.0,365.5680908203125,367.0012969970703,365.8170694986979,369.7206802368164,376.8676171875,
2020-02-20,365.0265197753906,375.763966626253,364.1395018988108,364.8397701716931,28639.0,368.02836151123046,,-0.7651357646243864,0.0012805238821847,-0.0005116055781713,0.0294155253636623,-0.0024300094062362,Capital Goods,1.0,365.8201843261719,366.1563049316407,365.7485961914063,368.02836151123046,375.38118041992186,378.23516337076825
2020-02-24,358.11724853515625,370.3486089598554,356.6700385720558,370.3486089598554,20600.0,366.80989532470704,,-0.7673336082118414,-0.0189281349872491,0.0341546252651341,0.0341546252651341,-0.0040411624098536,Capital Goods,1.0,364.2515808105469,364.8164611816407,365.41246744791664,366.80989532470704,373.4988610839844,377.8321197509766
2020-02-25,353.5888366699219,363.812737283408,350.134168146612,361.52521114791176,25669.0,365.4537094116211,,-0.7687740989138714,-0.0126450537743082,0.0224452065645912,0.0289146589292077,-0.0097702986209794,Capital Goods,1.0,361.2357543945312,363.5279693603516,364.9362833658854,365.4537094116211,371.4391394042969,377.0602681477865
2020-02-26,343.5049743652344,353.77557719400403,341.21744810431335,350.180860505136,23040.0,363.9761444091797,,-0.771981781943317,-0.0285186104845862,0.0194346127075395,0.0298994296887513,-0.0066593686602302,Capital Goods,1.0,356.95945434570314,361.3197937011719,363.7629455566406,363.9761444091797,369.140390625,375.0123728434245
2020-02-27,344.53204345703125,353.8689552038343,340.79727875831003,353.8689552038343,30284.0,362.60128326416014,,-0.7716550706102702,0.0029899686131032,0.0271002710027099,0.0271002710027099,-0.010840108401084,Capital Goods,1.0,352.95392456054685,359.26100769042966,362.31883951822914,362.60128326416014,366.3673291015625,372.8820017496745
2020-02-28,330.1531982421875,352.9352567347314,317.5483676445185,346.3994186470512,69230.0,360.8062622070312,,-0.7762289904422813,-0.041734420608796,0.0492081266859212,0.0690045064347124,-0.0381787323726683,Capital Goods,1.0,345.97926025390626,355.89972229003905,359.4306233723958,360.8062622070312,363.6185412597656,370.4808603922526
